"Date","Open","High","Low","Close","Volume","Adj_Close"
2020-01-02,1518.09997558594,1528.69995117188,1518,1524.5,214,1524.5
2020-01-03,1530.09997558594,1552.69995117188,1530.09997558594,1549.19995117188,107,1549.19995117188
2020-01-06,1580,1580,1560.40002441406,1566.19995117188,416,1566.19995117188
2020-01-07,1558.30004882812,1576.30004882812,1558.30004882812,1571.80004882812,47,1571.80004882812
2020-01-08,1579.69995117188,1604.19995117188,1552.30004882812,1557.40002441406,236,1557.40002441406
2020-01-09,1555.69995117188,1555.69995117188,1543.30004882812,1551.69995117188,54,1551.69995117188
2020-01-10,1551.19995117188,1558.80004882812,1545.40002441406,1557.5,16,1557.5
2020-01-13,1557.40002441406,1558,1548.40002441406,1548.40002441406,48,1548.40002441406
2020-01-14,1546.69995117188,1546.69995117188,1534.90002441406,1542.40002441406,32,1542.40002441406
2020-01-15,1548,1553.90002441406,1545.59997558594,1552.09997558594,11,1552.09997558594
2020-01-16,1555.69995117188,1556.09997558594,1548.5,1549,98,1549
2020-01-17,1554.09997558594,1558.80004882812,1553.59997558594,1558.80004882812,108,1558.80004882812
2020-01-21,1559.30004882812,1566.19995117188,1551,1556.40002441406,45,1556.40002441406
2020-01-22,1549.80004882812,1557.09997558594,1549.80004882812,1555.30004882812,42,1555.30004882812
2020-01-23,1553.09997558594,1564.59997558594,1552.19995117188,1564.59997558594,15,1564.59997558594
2020-01-24,1556.30004882812,1571.09997558594,1556.30004882812,1571.09997558594,43,1571.09997558594
2020-01-27,1584.30004882812,1584.5,1576.80004882812,1576.80004882812,22,1576.80004882812
2020-01-28,1576.40002441406,1576.40002441406,1569.19995117188,1569.19995117188,3,1569.19995117188
2020-01-29,1569.80004882812,1569.80004882812,1569.80004882812,1569.80004882812,251274,1569.80004882812
2020-01-30,1576.80004882812,1585,1571.40002441406,1583.5,62336,1583.5
2020-01-31,1573.40002441406,1589,1570,1582.90002441406,1095,1582.90002441406
2020-02-03,1592.90002441406,1593.30004882812,1568.19995117188,1577.19995117188,1062,1577.19995117188
2020-02-04,1577.69995117188,1577.69995117188,1547.80004882812,1550.40002441406,978,1550.40002441406
2020-02-05,1553.19995117188,1560.69995117188,1547.69995117188,1557.80004882812,1305,1557.80004882812
2020-02-06,1553.59997558594,1565.59997558594,1551.59997558594,1565.09997558594,110,1565.09997558594
2020-02-07,1564.90002441406,1571.90002441406,1560.5,1568.59997558594,431,1568.59997558594
2020-02-10,1569.30004882812,1574.69995117188,1568.59997558594,1574.69995117188,128,1574.69995117188
2020-02-11,1570.90002441406,1571.09997558594,1561.90002441406,1565.59997558594,440,1565.59997558594
2020-02-12,1565.19995117188,1568.69995117188,1561,1567.40002441406,36,1567.40002441406
2020-02-13,1570.19995117188,1575.09997558594,1570.19995117188,1575.09997558594,74,1575.09997558594
2020-02-14,1575.80004882812,1582.69995117188,1574.80004882812,1582.69995117188,68,1582.69995117188
2020-02-18,1579.80004882812,1604.30004882812,1579.80004882812,1600,310,1600
2020-02-19,1600.59997558594,1610.5,1599.69995117188,1607.5,542,1607.5
2020-02-20,1606.5,1621,1603,1616.59997558594,117,1616.59997558594
2020-02-21,1619.30004882812,1645,1619.30004882812,1644.59997558594,186,1644.59997558594
2020-02-24,1657,1686.59997558594,1650,1672.40002441406,435,1672.40002441406
2020-02-25,1645.09997558594,1653.69995117188,1632.30004882812,1646.90002441406,409,1646.90002441406
2020-02-26,1644,1648.09997558594,1636.40002441406,1640,1990,1640
2020-02-27,1641.09997558594,1658,1638.5,1640,707,1640
2020-02-28,1640.30004882812,1642.5,1564.09997558594,1564.09997558594,289,1564.09997558594
2020-03-02,1583.90002441406,1608.30004882812,1574.30004882812,1592.30004882812,537,1592.30004882812
