"Date","Price","Return","Normalized_Price","Volatility_30d"
2020-06-22,40.4599990844727,0.0177039680112974,66.1327212857987,0.0374239498749121
2020-06-23,40.3699989318848,-0.00222690070493137,65.9856141394454,0.0367983881116861
2020-06-24,38.0099983215332,-0.0602376695641085,62.1281433996946,0.0382222044017904
2020-06-25,38.7200012207031,0.0185070550922006,63.2886581032387,0.0377461280506482
2020-06-26,38.4900016784668,-0.00595778303127803,62.9127190037143,0.035376677627611
2020-06-29,39.7000007629395,0.0309526960072435,64.8904880106398,0.0340762593096147
2020-06-30,39.2700004577637,-0.0108903266640166,64.187643448641,0.0317360975575592
2020-07-01,39.8199996948242,0.0139084107254197,65.0866287940431,0.0316523630903069
2020-07-02,40.6500015258789,0.0206295825586476,66.4432842809906,0.0314607115039822
2020-07-06,40.6300010681152,-0.000492137242348978,66.4105931112229,0.0314622323426968
2020-07-07,40.6199989318848,-0.000246206431530727,66.3942444087375,0.0311051067334921
2020-07-08,40.9000015258789,0.00686957049937265,66.8519145502828,0.0307194845929091
2020-07-09,39.6199989318848,-0.0317960860448938,64.7597233315688,0.0300020927993346
2020-07-10,40.5499992370605,0.0232017474352233,66.2798284321518,0.029918099466457
2020-07-13,40.0999984741211,-0.0111594654859575,65.5442927003854,0.0288126769670139
2020-07-14,40.2900009155273,0.00472702566601324,65.8548556955773,0.0287942023614495
2020-07-15,41.2000007629395,0.0223349529467365,67.3422696263929,0.0283023016139052
2020-07-16,40.75,-0.0109824351865582,66.6067338946263,0.028371341259032
2020-07-17,40.5900001525879,-0.00393410507681669,66.3452107716874,0.028399117414196
2020-07-20,40.810001373291,0.00540544845850421,66.7048074039295,0.0265957283887238
2020-07-21,41.9599990844727,0.0277895786404878,68.5845029015518,0.0261282145570261
2020-07-22,41.9000015258789,-0.00143089836379806,68.4864356274516,0.0259562936323451
2020-07-23,41.0699996948242,-0.0200079428074074,67.129780140504,0.026123460774432
2020-07-24,41.2900009155273,0.00534244153325725,67.4893767727461,0.0202904163561786
2020-07-27,41.5999984741211,0.0074797685163368,67.9960743161385,0.0202610988040927
2020-07-28,41.0400009155273,-0.0135529074167517,67.0807465034539,0.0201992424802292
2020-07-29,41.2700004577637,0.00558863168573076,67.4566856029785,0.019395606366035
2020-07-30,39.9199981689453,-0.0332584492812562,65.2500784076787,0.0203298201893655
2020-07-31,40.2700004577637,0.00872938065556728,65.8221645258097,0.0199807124457684
2020-08-03,41.0099983215332,0.0182091122450094,67.0317066312008,0.0198128969529962
2020-08-04,41.7000007629395,0.016685248624932,68.1595301649773,0.0197842043207037
2020-08-05,42.189998626709,0.0116820464854257,68.9604420010762,0.0198686187915002
2020-08-06,41.9500007629395,-0.00570474248600039,68.5681604342695,0.0161806869928921
2020-08-07,41.2200012207031,-0.0175548460234398,67.3749607961605,0.0163496855208089
2020-08-10,41.939998626709,0.0173163876529387,68.551811731784,0.0165062997367648
2020-08-11,41.6100006103516,-0.00789945506635403,68.012423018624,0.0157322833314511
2020-08-12,42.6699981689453,0.0251555166246784,69.7450113698928,0.0161198208792207
2020-08-13,42.2400016784668,-0.0101283751534806,69.0421730430971,0.016144339496162
2020-08-14,42.0099983215332,-0.00546003390712757,68.6662277083695,0.0158034380233173
2020-08-17,42.8899993896484,0.0207310390708546,70.1046080021349,0.0161999028426365
2020-08-18,42.8899993896484,0,70.1046080021349,0.0161988905155457
2020-08-19,42.9300003051758,0.000932205046991097,70.1699903416704,0.016171222516778
2020-08-20,42.5800018310547,-0.00818618687712691,69.5979104587426,0.0150229030589132
2020-08-21,42.3400001525879,-0.00565243315743613,69.2056226567327,0.0145618955240688
2020-08-24,42.6199989318848,0.0065913322985196,69.663286563075,0.0143919350449253
2020-08-25,43.3499984741211,0.0169830664183888,70.8564862011838,0.014642852339046
2020-08-26,43.3899993896484,0.000922317716118837,70.9218685407192,0.0141533427664862
2020-08-27,43.0400009155273,-0.00809904861854349,70.3497886577914,0.0140736294101598
2020-08-28,42.9700012207031,-0.00162771092990655,70.2353726812058,0.0140473737581784
2020-08-31,42.6100006103516,-0.00841324435920709,69.6469440957927,0.0141545950072781
2020-09-01,42.7599983215332,0.00351406506768415,69.8921185162461,0.0132619763838205
2020-09-02,41.5099983215332,-0.0296687252739374,67.8489671697852,0.014369125163539
2020-09-03,41.3699989318848,-0.00337836697498028,67.6201352166141,0.0138960748043727
2020-09-04,39.7700004577637,-0.039443083924851,65.0049039872253,0.0156271349671777
2020-09-08,36.7599983215332,-0.0787026189025317,60.0849920532336,0.0209737843067334
2020-09-09,38.0499992370605,0.0344908124293783,62.19352573923,0.0220362180066924
2020-09-10,37.2999992370605,-0.0199077580610947,60.9676349313534,0.0222036725120465
2020-09-11,37.3300018310547,0.000804035781351242,61.0166748036067,0.0214818398175799
2020-09-14,37.2599983215332,-0.00187702185095562,60.902252591818,0.0213821978844948
2020-09-15,38.2799987792969,0.027007214569934,62.5694648387545,0.0217347307373861
2020-09-16,40.1599998474121,0.047943936888017,65.6423662096886,0.023364257840521
2020-09-17,40.9700012207031,0.0199686497698526,66.9663305268684,0.0235705425244212
2020-09-18,41.1100006103516,0.00341129440275134,67.1951624800396,0.0235662670803356
2020-09-21,39.310001373291,-0.0447724413879076,64.2530257881764,0.024733547602909
2020-09-22,39.5999984741211,0.00735010535946801,64.727032161801,0.0245371187520373
2020-09-23,39.9300003051758,0.00829884898976108,65.2664271101642,0.0245790465385799
2020-09-24,40.310001373291,0.0094716824794201,65.8875468653451,0.0241585126111801
2020-09-25,40.25,-0.0014896073327475,65.7894733560419,0.0241084426690207
2020-09-28,40.5999984741211,0.00865802515988978,66.3615532389698,0.0241683884350239
2020-09-29,39.2900009155273,-0.0327979721523048,64.2203346184086,0.0244722273893671
2020-09-30,40.2200012207031,0.0233943578229971,65.7404397189918,0.0249368791772016
2020-10-01,38.7200012207031,-0.0380081207603555,63.2886581032387,0.025770831026154
2020-10-02,37.0499992370605,-0.0440879627848627,60.5590046620612,0.0268113893021797
2020-10-05,39.2200012207031,0.0569185207427689,64.1059186418231,0.0290684333809099
2020-10-06,40.6699981689453,0.0363038230041819,66.4759692155553,0.0298853894592204
2020-10-07,39.9500007629395,-0.0178619835872444,65.299118279932,0.0298168656710431
2020-10-08,41.189998626709,0.0305667837979482,67.3259209239075,0.0304268049541058
2020-10-09,40.5999984741211,-0.0144274460831286,66.3615532389698,0.030494314002172
2020-10-12,39.4300003051758,-0.0292410733952408,64.4491665715798,0.0308984593095826
2020-10-13,40.2000007629395,0.0193400589743487,65.7077485492242,0.0311411593513495
2020-10-14,41.0400009155273,0.0206802085671138,67.0807465034539,0.0314014671118848
2020-10-15,40.9599990844727,-0.00195126479117258,66.9499818243831,0.0309445230883308
2020-10-16,40.8800010681152,-0.001954986356,66.819223380515,0.030940960768338
2020-10-19,40.8300018310547,-0.00122382184621106,66.7374985736973,0.0300518849055812
2020-10-20,41.4599990844727,0.0153119347481505,67.7672423629674,0.0261106536009248
2020-10-21,40.0299987792969,-0.035099942415675,65.4298767237999,0.0263990508258033
2020-10-22,40.6399993896484,0.0151236457419568,66.4269355785052,0.0261846323177103
2020-10-23,39.8499984741211,-0.0196304213060712,65.1356624310932,0.026503761659991
2020-10-26,38.560001373291,-0.0329068615889239,63.0271349802998,0.0272620807654953
2020-10-27,39.5699996948242,0.0258557423282935,64.6779985247509,0.0272251966346707
2020-10-28,37.3899993896484,-0.0566679750199346,61.1147420777068,0.0277141361948468
2020-10-29,36.1699981689453,-0.0331732773246656,59.1206243682959,0.0279337354393783
2020-10-30,35.7900009155273,-0.0105614449819629,58.499510848318,0.0279197351083097
2020-11-02,36.810001373291,0.0281010343400134,60.1667230952545,0.0274723577855011
2020-11-03,37.6599998474121,0.022828934478802,61.5560635167667,0.0278011036226222
2020-11-04,39.1500015258789,0.0388019422347234,63.9915026652375,0.0287210067007919
