"Pair","Mean_Correlation","Mean_PValue","Significant_Periods","Total_Periods","Percent_Significant"
"BTC_Gold",0.103342102199892,0.307464789299943,464,1645,28.21
"BTC_Oil",0.0709856378335384,0.358448064251968,384,1645,23.34
"ETH_Gold",0.11122858076424,0.341909362939988,394,1645,23.95
"ETH_Oil",0.0659294972517419,0.416032134530217,209,1645,12.71
